S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres  ,Laps,Total Time,Pitstops,Best Lap Number,Best LapTime,Best Lap Kph,Status
93,2,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,LMP2,G,25,02:02:41,3,13,03:43.1,219.9,Running 
94,2,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,HYPERCAR,M,25,02:03:02,3,9,03:30.4,233.1,Running 
95,2,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,LMP2,G,25,02:03:35,2,10,03:39.9,223.1,Running 
96,2,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,LMP2,G,25,02:03:43,2,9,03:37.6,225.4,Running 
97,2,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,LMP2,G,25,02:03:55,2,9,03:38.0,225,Running 
98,2,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,LMP2,G,25,02:04:03,3,10,03:46.1,216.9,Running 
99,2,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,LMGTE Am,M,25,02:05:34,1,11,03:51.4,211.9,Running 
100,2,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,LMGTE Am,M,25,02:05:52,2,10,03:52.2,211.2,Running 
101,2,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,LMGTE Am,M,24,02:01:00,2,10,03:54.9,208.9,Running 
102,2,911,Proton Competition,M. FASSBENDER / M. RUMP / R. LIETZ,Porsche 911 RSR - 19,LMGTE Am,M,24,02:01:01,2,16,03:53.1,210.5,Running 
103,2,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,INNOVATIVE CAR,G,24,02:01:13,1,8,03:52.1,211.3,Running 
104,2,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,LMGTE Am,M,24,02:01:21,2,8,03:52.1,211.3,Running 
105,2,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,LMGTE Am,M,24,02:01:31,2,10,03:54.9,208.9,Running 
106,2,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,LMGTE Am,M,24,02:01:32,2,11,03:54.7,209,Running 
107,2,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,LMGTE Am,M,24,02:01:33,2,8,03:53.8,209.8,Running 
108,2,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,LMGTE Am,M,24,02:01:38,2,14,03:55.0,208.7,Running 
109,2,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,LMGTE Am,M,24,02:02:12,2,8,03:52.2,211.2,Running 
110,2,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,LMGTE Am,M,24,02:02:25,2,8,03:51.4,212,Running 
111,2,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,LMGTE Am,M,24,02:02:25,1,8,03:52.5,211,Running 
112,2,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,LMGTE Am,M,24,02:02:27,2,8,03:52.5,211,Running 
