S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres  ,Laps,Total Time,Pitstops,Best Lap Number,Best LapTime,Best Lap Kph,Status
113,2,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,LMGTE Am,M,24,02:02:37,2,9,03:55.1,208.6,Running 
114,2,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,LMGTE Am,M,24,02:02:48,2,8,03:53.1,210.5,Running 
115,2,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,LMGTE Am,M,24,02:03:02,2,10,04:00.3,204.1,Running 
116,2,16,Proton Competition,R. HARDWICK / Z. ROBICHON / J. HEYLEN,Porsche 911 RSR - 19,LMGTE Am,M,24,02:03:06,2,10,03:58.7,205.5,Running 
117,2,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,LMP2,G,23,01:59:57,2,9,03:49.2,214,Running 
118,2,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,LMGTE Am,M,23,02:04:43,3,17,03:58.6,205.6,Running 
119,2,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,LMGTE Am,M,22,02:01:30,3,8,03:51.3,212.1,Running 
120,2,55,GMB Motorsport,G. BIRCH / M. SØRENSEN/ J. MØLLER,Aston Martin Vantage AMR,LMGTE Am,M,21,01:45:27,2,17,03:56.2,207.7,Running 
121,2,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,LMGTE Am,M,21,01:45:28,2,11,03:54.8,208.9,Running 
122,2,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,LMP2,G,19,01:34:25,3,10,03:39.1,223.9,Running 
123,2,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,LMP2,G,18,01:27:23,2,13,03:44.2,218.8,Running 
124,2,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,HYPERCAR ,M,10,02:04:22,1,3,03:35.6,227.6,Running 
125,3,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,HYPERCAR,M,39,03:04:58,4,31,03:29.0,234.7,Running 
126,3,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,HYPERCAR,M,39,03:05:07,4,12,03:29.1,234.6,Running 
127,3,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,HYPERCAR,M,39,03:06:34,4,10,03:29.7,234,Running 
128,3,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,HYPERCAR,M,39,03:06:50,5,10,03:29.5,234.2,Running 
129,3,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,HYPERCAR,M,39,03:06:55,4,12,03:30.0,233.6,Running 
130,3,2,Cadillac Racing,E. BAMBER / A. LYNN / R. WESTBROOK,Cadillac V-Series.R,HYPERCAR,M,39,03:06:56,3,10,03:30.2,233.4,Running 
131,3,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,HYPERCAR,M,39,03:06:57,4,10,03:29.7,234,Running 
132,3,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,HYPERCAR,M,39,03:07:01,4,9,03:30.0,233.6,Running 
133,3,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,HYPERCAR,M,39,03:07:05,4,10,03:30.1,233.5,Running 
134,3,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,HYPERCAR,M,39,03:09:48,3,12,03:29.9,233.7,Running 
135,3,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,HYPERCAR,M,39,03:10:00,3,9,03:30.1,233.5,Running 
136,3,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,HYPERCAR,M,39,03:13:57,4,11,03:30.6,233,Running 
137,3,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,HYPERCAR,M,39,03:13:59,4,12,03:28.3,235.5,Running 
138,3,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,LMP2,G,38,03:07:08,3,11,03:37.3,225.7,Running 
139,3,35,Alpine Elf Team,A. NEGRÃO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,LMP2,G,38,03:09:01,4,10,03:38.1,225,Running 
140,3,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,LMP2,G,38,03:09:52,5,10,03:37.4,225.6,Running 
141,3,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,LMP2,G,38,03:10:01,4,10,03:37.7,225.3,Running 
142,3,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,LMP2,G,38,03:10:04,4,11,03:37.7,225.3,Running 
143,3,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,LMP2,G,38,03:10:07,4,10,03:38.1,225,Running 
144,3,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,LMP2,G,38,03:10:08,5,13,03:38.7,224.3,Running 
145,3,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,LMP2,G,38,03:10:09,6,11,03:39.0,223.9,Running 
146,3,41,Team WRT,R. ANDRADE / L. DELÉTRAZ / R. KUBICA,Oreca 07 - Gibson,LMP2,G,38,03:10:12,4,11,03:36.4,226.7,Running 
147,3,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,HYPERCAR,M,38,03:11:45,4,29,03:30.1,233.5,Running 
148,3,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,LMP2,G,38,03:13:13,4,13,03:43.1,219.9,Running 
149,3,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,LMP2,G,38,03:13:57,5,10,03:37.8,225.2,Running 
150,3,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,LMP2,G,38,03:14:00,4,11,03:37.1,225.9,Running 
151,3,47,COOL Racing,DE GÉRUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,LMP2,G,38,03:14:01,4,10,03:37.3,225.7,Running 
152,3,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,LMP2,G,37,03:07:01,5,29,03:40.1,222.9,Running 
153,3,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,LMP2,G,37,03:07:10,4,9,03:37.6,225.4,Running 
154,3,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,LMP2,G,37,03:07:23,4,9,03:38.0,225,Running 
